//word	wrong	right
ultimate strength	prode	produce
ultrafiche	Ultrafichof	Ultrafiches of
umlaut	foot-ft	foot-feet
unanimously	unanously	unanimously
unburned	cosumed	consumed
unction	$\buality	quality
undershrub	sll	small
understand	uerstand	understand
undifferentiated	distinive	distinctive
undo	strin	string.
uneasy	anxiouapprehensive	anxious; apprehensive
unemotional	unotional	unemotional
unequivocably	$\btate	state
unforgivable	unpardonble	unpardonable
uniform	regulareven	regular; even
unimpeachable	unimpachable	unimpeachable
union shop	concerng	concerning
unitarian	$uni\b	unity
universalist	pracices	practices
unknowing	unknwing	unknowing
unmeritorious	unmeritorus	unmeritorious
unplanted	spontaneos	spontaneous
unprescribed	prescred	prescribed
unquestioned	examned	examined
unreadability	qualior	quality or
unreprovable	nreprovable	not reprovable
unstack	stk	stack
unstoppable	thhairman	the chairman
unstudied	authowhich	authors which
unsullied	spless	spotless
untermensch	hourn	hours in
unwilling	unwiling	unwilling
upset	upt	upset
upstream	Uil	Until
upward	$\bldiers	soldiers
uredostage	prouced	produced
urgent	$importan\b	important
utilitarian	utilitarnism	utilitarianism
utmost	poible	possible
uvulotomy	whoe	whole
vagina	$\bcabbard	scabbard
vagrom	alteraon	alteration
valkyrie	to choos	to choose
vallum	raart	rampart
vanishing cream	otheosmetics	other cosmetics
variability	variabiliof	variability of
variscite	$\bxony	Saxony
v-block	cyndrical	cylindrical
veiling	$\boncealing	concealing
veneer	$\bnything	(anything
ventriculography	replacint	replacing it
venture	$assuran\b	assurance
veratrum	treaent	treatment
vernacularist	$vernacul\b	vernacular
vesper	bll	bell
vestimentary	$dre\b	dress
veteran	experiene	experience
vexed question	ecoomics	economics
v-girl	waime	wartime
vice	substitue	substitute
victualer	supplifood	supplies food
villi	tluck	to pluck
virile	charactistic	characteristic
visc.	$\bscountess	Viscountess
viscose	thicsticky	thick, sticky
visionary	visioaries	visionaries
visitor	applieto	applies to
vitamin p	$papri\b	paprika
voltaic cell	eletrolyte	electrolyte
voluntarism	indiidual	individual
vor	$directi\b	direction
v-sign	hthem	had them
walk	wallowly	walk slowly
walkman	tape-player	tape player
walkyrie	influencey	influenced by
want	sene	sense
ware	moneoriginally	money; originally
washing-up machine	wahing-up	washing-up
wastelot	oneglected	one neglected
watch	inford	informed
water of hydration	chmical	chemical
wavellite	discoveret	discovered it
way	cleao	clear to
waylaid	$\bo\b	of 
wear	Tgloomy	The gloomy
weekdays	$weekda\b	weekday;
weight	$\bummer	summer
weightless	weighess	weightless
well-founded	well-unded	well-founded
welt	serely	severely
wey	$varyin\b	varying
whence	adverbiagenitive	adverbial genitive
whiff	$fum\b	fumes
whirlpool	violenty	violently
whistle	shis	ships
white	$reactionar\b	reactionary;
white-headed	faiair	fair hair
wildwater	watwith	water with
wind	$fac\b	fact,
wintergreen barberry	$barberr\b	barberry,
witches' brew	$rai\b	rain
withstand	withand	withstand
woe	distresalas	distress; alas
wolf	iome	in some
wolverene	wolvrine	wolverine
wonderland	plce	place
wood	$snor\b	snores
worm-eating warbler	warblef	warbler of
worthy	befault	by default
wound	$\brson	person
wrathful	wrathfuion	wrathful lion
wrestle	$(?<=under <B>)wres\b	wrest
wrinkle	wrinkln	wrinkle in
xanthophore	$stimulati\b	stimulation
yours	likours	like ours
zinc dust	containig	containing
flam	$imitati\b	imitative
flier	$aviato\b	aviator
flight	Ouoldiers	Our soldiers
flip	re-sell	resell
flutter	$\bonfused	a confused
food	$\blants	plants
forced	dren	driven
formyl	$aci\b	acid)
fourth world	thoil-rich	the oil-rich
fragile	etymf	etym. of
frangible	antiquhina	antique china
fraxinella	$\because	because
frill	oskin	or skin
frisky	friskmerry	frisky merry
frizzle	imitataive	imitative
frock coat	$double-breaste\b	double-breasted
front-rank	frontrank	front-rank
frost	feze	freeze
froth	boque	baroque
froward	$untowar\b	untoward.
fuel	producheat	produce heat
fulminate	lighing	lightning
furioso	$fanati\b	fanatic.
g.a.	$\bstal	postal
gage	greenage	greengage
gait	waroad	way, road
gale	bouyant	buoyant
gallery	whsit	who sit
gang	gaof	gang of
garble	$statemen\b	statement
garrote	garrong	garroting
gas black	turnina	turning a
gassing	$gasse\b	gasses.
canard	$orga\b	organs
cape cowslip	multi-colored	multicolored
capella	shegoat	she-goat
capillary attraction	drawp	draws-up
card	calentura	calenture
carnotite	inspector-general	inspector general
carriable	carrid	carried
cast	teency	tendency
catelectrotonus	neighbrhood	neighborhood
cater	acqre	acquire
cat scanning	$taki\b	taking
cellulose	plasts	plastics
chalco-	Chalcogph	Chalcograph
chamber	hearor	heart, or
changa	insecest	insect pest
charlatanic	$boaste\b	boaster
chi	chihow	chi how
chloroacetic acid	 Also	. Also
chlorophyll	plale	pale
chorology	dealng	dealing
chouse	cheatd	cheated
chrysotile	serpetine	serpentine
chyme	$\beek	Greek
cinque	later cinq	later <i>cinq</i>
claret	cler]	clear]
cleft palate	$pala\b	palate
climb	$\((kl[^<>\)]+?m)\)	&#171;\1&#187;
clipper	$cuttin\b	cutting
lcpr	$\bersonnel	personnel
lcpr	$\bubber	rubber
lead	read</i>&	read</i> &
lead	$(lead</i>)&	\1 &
leak	$\boint	point
lean	leaoward	lean toward
lecithin	$\boybeans	soybeans
ledger	lger	ledger
leishmania	flallates	flagellates
length	(lenth) nd (strenth)	&#171;lenth&#187; and &#171;strenth&#187;
let	hinrs	hinders
letterboxed	$\bize	size
letterform	sansserif	sans-serif
liberal arts	ftheir	for their
liberate	basen	based on
lie	fosage	for usage
light	lighloads	light loads
light-minded	thougtless	thoughtless
lilliput	ionathan	in Jonathan
link	thaonnects	that connects
listen	crulity	credulity
live	ththey	that they
livery	$\betainers	retainers
lonely	oself	oneself
longan	reated	related
long haul	longhaul	long-haul
long house	oertain	of certain
long-pull	prospts	prospects
loop	trance-like	trancelike
loose-coupler	tranformer	transformer
lorentz force	phyicist	physicist
loss	circt	circuit
lover	extra-marital	extramarital
lucubrate	learnedln	learnedly in
lurk	jule	jungle
lush	$\berhaps	perhaps
lustration	knigherrantry	knight-errantry
lutetian	$\baris	Paris
macaco	shorttailed	short-tailed
machete	fcutting	for cutting
mad cow disease	encphalopathy	encephalopathy
magazine	butr	butter
maggot	orin	origin
magisterial	magistial	magisterial
magnetic tape	eleronic	electronic
randem	$carria\b	carriage
raspberry	$\brlier	earlier
reapportionment	legislive	legislative
recombinant dna	oanisms	organisms
reconstituted	brouht	brought
redingote	redngote	redingote
refluent	participlf	participle of
reform	interet	interpret
refuse	$\bhy	thy
register	unof	unit of
registration	electn	election
regnal	sovereignt	sovereignty,
regret	forgotton	forgotten
regular	seence	sentence
regulatory	reglatory	regulatory
rein	legislture	legislature
reinforced concrete	concretin	concrete in
re-laid	pavent	pavement
relativistic	greaelative	great relative
relaxed	fadressed	fan dressed
religionism	$\bzl\b	zeal
reformer	suorter	supporter
remonstrant	particple	participle
rendezvous	$\bcott	Scott
renin	workis	workings
repair	dinnr	dinner
repristination	originstate	original state
reprography	Finay	Finally
reptilian	reptis	reptiles
resistor	restance	resistance
retold	$tese\b	tense
riff	expecially	especially
riksmal	varties	varieties
riot	assembe	assemble
ripe	$\beady	ready
road map	roadmap	road map
robalo	$suh\b	such
rocky mountain jay	$jof\b	jay of
roentgenometer	itensity	intensity
romansh	Romanish	Romansh
root	$chor\b	chord
roquelaure	popularid	popularized
rose	csisting	consisting
rose campion	corockle	corn cockle
rotifer	micrcopic	microscopic
roue	paparticiple	past participle
rough	thaste	the taste
round	ro</B>|<B>tund	rotund
round robin	$\boeam\b	or team
aero	. Aero	.</i> <i>Aero
anti	. Anti	.</i> <i>Anti
d	. Ph	.</i> <i>Ph
esquire	; Mary	;</i> <i>Mary
esquire	<B>Esq</B>.	<B>Esq.</B>
-ey	. Gooey	.</i> <i>Gooey
paleo-	; paleo	;</i> <i>paleo
paleo-	</i> = <i>	 = 
-et	. Islet	.</i> <i>Islet
-et	$(?<=isle\.</i>)(.+?)(</FONT>)	\2\1
centi-	<i>Centigrade= 100-degree.</i>	<em>Centigrade</em> = <em>100-degree.</em>
air	blanket. 	blanket.</i> <i>
reverse	his business. 	his business.</i> <i>
walk	men. 	men.</i> <i>
walk	house. 	house.</i> <i>
absolute	temperature. 	temperature.</i> <i>
ahead	me. 	me.</i> <i>
airtight	alibi. 	alibi.</i> <i>
alarm	deer. 	deer.</i> <i>
anthropomorphic	anthropomorphic. 	anthropomorphic.</i> <i>
antiabortion	laws. 	laws.</i> <i>
anticipation	winter. 	winter.</i> <i>
archipelago	archipelago. 	archipelago.</i> <i>
article	today. 	today.</i> <i>
ask	sing. 	sing.</i> <i>
assembly	assembly. 	assembly.</i> <i>
axial-flow	turbine. 	turbine.</i> <i>
bevel	windows. 	windows.</i> <i>
black	battle. 	battle.</i> <i>
border	lake. 	lake.</i> <i>
bounteous	poor. 	poor.</i> <i>
boutique	farmer. 	farmer.</i> <i>
brown	. The	.</i> <i>The
cackle	audience. 	audience.</i> <i>
closet	closet. 	closet.</i> <i>
closet	politics. 	politics.</i> <i>
clue	robbery. 	robbery.</i> <i>
command	economy. 	economy.</i> <i>
denude	$\(<i>(Figurative.)</i>\)[\xFF\s]*(<i>)	\2(<em>\1</em>) 
detect	account. 	account.</i> <i>
drive-by	evaluations; 	evaluations;</i> <i>
edge	noise. 	noise.</i> <i>
edge	an edge. 	an edge.</i> <i>
edge	it. 	it.</i> <i>
eland	antelopes. 	antelopes.</i> <i>
film	hills. 	hills.</i> <i>
fit	anywhere. 	anywhere.</i> <i>
fit	group. 	group.</i> <i>
fitting	fittings. 	fittings.</i> <i>
fix	. The	.</i> <i>The
fix	ground.	ground.</i> <i>
fix	dollar. 	dollar.</i> <i>
fizzle	rain. 	rain.</i> <i>
garage	video. 	video.</i> <i>
grace	grace. 	grace.</i> <i>
influence	club. 	club.</i> <i>
influence	duty. 	duty.</i> <i>
influence	tides. 	tides.</i> <i>
island	island. 	island.</i> <i>
managed	currency. 	currency.</i> <i>
mourn	death. 	death.</i> <i>
position	basketball. 	basketball.</i> <i>
position	ones. 	ones.</i> <i>
positive	proof. 	proof.</i> <i>
positive	people. 	people.</i> <i>
postpone	rain. 	rain.</i> <i>
rail	monuments. 	monuments.</i> <i>
sexy	beauties. 	beauties.</i> <i>
sexy	sexy. 	sexy.</i> <i>
shade	heroes. 	heroes.</i> <i>
site	mill. 	mill.</i> <i>
steroid	steroids; 	steroids;</i> <i>
survival	magic. 	magic.</i> <i>
tea	mint tea. 	mint tea.</i> <i>
textbook	example. 	example.</i> <i>
timber	above. 	above.</i> <i>
utensil	. Pots	.</i> <i>Pots
window	window. 	window.</i> <i>
writer	writer. 	writer.</i> <i>
yes	said. 	said.</i> <i>
slam	sm dancing	slam dancing
orthorhombic	See picture un'	crystal'
#	abacus	Doric
#	absorb	adsorb
#	accessory bud	bud1
#	acute angle	angle
#	adjacent angles	angle
#	african elephant	elephant
#	afterburner	airplane
#	airframe	airship
#	air scoop	airplane
#	alluvial fan	valley
#	althorn	French horn
#	american holly	deciduous
#	anal fin	fin
#	antecedent	consequent
#	anther	flower
#	anticline	fold1
#	anvil	ear1
#	aorta	circulation
#	aquifer	artesian well
#	arc	circle
#	archenteron	embryo
#	archipelago	peninsula
#	armature	generator
#	aster	composite family
#	auditory canal	ear1
#	auricle	ear1
#	avocado	alligator pear
#	bacillus	bacteria
#	bactrian camel	camel
#	baguette	gem
#	bamboo	grass family
#	baritone	French horn
#	base	Corinthian
#	bass drum	drum1
#	bell buoy	buoy
#	bench	valley
#	bergschrund	glacier
#	berry	fruit
#	biceps	arm1
#	biceps	leg
#	bight	bay1
#	bishop	chess1
#	black bear	bear1
#	bladder	kidney
#	blastocoel	embryo
#	blastopore	embryo
#	blastula	embryo
#	bleeding heart	fumitory family
#	blind spot	eye
#	bluff	valley
#	bobcat	lynx
#	bongo	drum1
#	botone	cross
#	bowline	knot
#	brace	bit3
#	brace and bit	bit3
#	bracket fungus	fungus
#	brain coral	coral
#	breastplate	armor
#	brilliant	gem
#	broadleaf evergreen	deciduous
#	brother-in-law	family tree
#	brush	generator
#	bullet	cartridge
#	bumble bee	bee1
#	cabbage	mustard family
#	cabochon	gem
#	caladium	arum family
#	calcaneus	foot
#	caldera	volcano
#	calla	arum family
#	calvary cross	cross
#	cambium	bark1
#	canada lynx	lynx
#	can buoy	buoy
#	cant frames	frame
#	canyon	valley
#	cape	peninsula
#	caribou	antler
#	carriage bolt	bolt1
#	carving knife	knife
#	catalpa	bignonia family
#	catfish	barb1
#	catkin	alder
#	cat's-paw	hitch
#	cattleya	orchid
#	caudal fin	fin
#	centimeter	inch1
#	cerebellum	brain
#	cerebrum	brain
#	chalaza	egg1
#	channel	bay
#	chimney	hurricane lamp
#	chimpanzee	ape
#	chive	amaryllis family
#	chloroplast	cell
#	chokecherry	deciduous
#	chord	angle
#	circle graph	graph1
#	circumference	circle
#	cirque	mountain
#	cirrus	cloud
#	clove hitch	hitch
#	coccus	bacteria
#	cochlea	ear1
#	cockpit	airplane
#	cockscomb	angiosperm
#	coffee	madder family
#	commutator	generator
#	complementary angle	angle
#	concertina	accordion
#	conestoga wagon	covered wagon
#	conga drum	drum1
#	conger	eel
#	convexo-concave	lens
#	cork	bark1
#	corm	bulb
#	corona	cigar
#	cotton	mallow family
#	counterbore	countersink
#	cove	bay1
#	coyote	dog
#	crankcase	internal-combustion engine
#	crater	volcano
#	crenel	battlement
#	crocodile	alligator
#	crocus	iris family
#	crupper	harness
#	crust	core1
#	cucumber	gourd family
#	cuesta	plain
#	cuisse	armor
#	cymbidium	orchid
#	cytoplasm	cell
#	daffodil	amaryllis family
#	daisy	composite family
#	dandelion	composite family
#	deltoid muscle	arm1
#	dent corn	corn1
#	derailleur	bicycle
#	dicotyledon	cotyledon
#	diencephalon	brain
#	dingo	dog
#	disk brake	brake1
#	distributive fault	fault
#	diving beetle	beetle1
#	dogtooth violet	adder's-tongue
#	donkey	horse
#	dorsal fin	fin1
#	double bass	bass1
#	double-concave lens	lens
#	double-convex lens	lens
#	dromedary	camel
#	drone	bee1
#	drumlin	glacier
#	drupe	fruit
#	duck	goose
#	duodenum	digestion
#	dutchman's-breeches	fumitory family
#	eardrum	ear1
#	earth	solar system
#	echinus	Doric
#	efferent	afferent
#	electric eel	eel
#	electric guitar	bass
#	electron	atom
#	elevator	airplane
#	elk	antler
#	embattled	heraldry
#	endocarp	fruit
#	english horn	oboe
#	english ivy	ivy
#	ephyra	alternation of generations
#	epicarp	fruit
#	epicotyl	cotyledon
#	epidermis	skin
#	escarpment	mountain
#	esker	glacier
#	eustachian tube	ear1
#	fairway	golf course
#	feather boa	boa
#	felloe	spoke2
#	fetlock	horse
#	fibrous root	root1
#	fibula	leg
#	fife	flute
#	figure of eight	knot1
#	finishing nail	nail
#	fiord	bay1
#	firefly	beetle1
#	firth	bay1
#	fitche	cross
#	flageolet	flute
#	flint corn	corn1
#	floating ribs	chest
#	flute	Corinthian
#	flying jib	jib1
#	foghorn	beacon
#	foothill	mountain
#	foremast	mast1
#	foresail	sail
#	fore-topgallant	mast1
#	fore-topmast	mast1
#	forsythia	olive family
#	fovea centralis	eye
#	fox	dog
#	frond	fern
#	frontal	face
#	frontal lobe	brain
#	fur seal	seal
#	gallop	gait
#	gametophyte	alternation of generations
#	gap	mountain
#	gardenia	madder family
#	garlic	amaryllis family
#	gaskin	horse
#	gastrula	embryo
#	gatehouse	castle
#	ghost crab	eyestalk
#	gibbon	ape
#	gladiolus	iris family
#	glen	valley
#	golgi apparatus	cell
#	goose barnacle	barnacle1
#	gorge	valley
#	gorilla	ape
#	granny knot	knot1
#	grant's gazelle	antelope
#	great horned owl	owl
#	greave	armor
#	green	golf course
#	greyhound	hound1
#	grizzly bear	bear1
#	ground moraine	glacier
#	ground squirrel	squirrel
#	gulf	bay1
#	halyard	flag1
#	hamster	rodent
#	handgun	gun1
#	hanging valley	valley
#	harbor	bay
#	harbor seal	seal2
#	harmonic minor	minor scale
#	hartebeest	antelope
#	hatchet	ax
#	headland	peninsula
#	heddle	loom1
#	high hurdles	hurdle
#	hoist	flag1
#	homologous	analogy
#	honda knot	knot1
#	honeybee	bee1
#	hop tree	rue family
#	horizontal stabilizer	airplane
#	horned owl	horn
#	horned toad	horn
#	horse chestnut	chestnut
#	horseshoe magnet	magnet
#	humerus	arm1
#	hunting knife	knife
#	hyena	dog
#	hypocotyl	embryo
#	ice hockey	hockey
#	igniter	rocket1
#	ileum	digestion
#	inlet	bay1
#	inner core	core1
#	intervertebral disk	disk
#	iris	iris family
#	irish setter	dog
#	isometric	crystal
#	isthmus	peninsula
#	jackal	dog
#	jack-in-the-pulpit	arum family
#	jaguar	leopard
#	japanese ivy	ivy
#	jigger mast	mast1
#	jugular vein	circulation
#	june bug	beetle1
#	kame	glacier
#	kangaroo rat	rat
#	katydid	grasshopper
#	kelvin scale	absolute scale
#	kettledrum	drum1
#	kettle hole	glacier
#	key signature	signature
#	king crab	crab1
#	knight	chess1
#	ladybug	beetle
#	lagoon	bay
#	lamprey	eel
#	landing gear	airplane
#	larch	deciduous
#	large intestine	intestine
#	lark's-head	hitch
#	larva	amphibian
#	larynx	epiglottis
#	lasagna	pasta
#	lateral moraine	glacier
#	lava	volcano
#	leading tone	dominant
#	leaf beetle	beetle1
#	leek	amaryllis family
#	leopard frog	frog1
#	levee	valley
#	life cycle	amphibian
#	lighthouse	beacon
#	lilac	olive family
#	line graph	graph1
#	little dipper	constellation
#	locust	grasshopper
#	long division	division
#	low tide	tide1
#	lysosome	cell
#	macaroni	pasta
#	machine bolt	bolt1
#	mainmast	mast1
#	mainsail	sail
#	maintopgallantyard	mast1
#	main yard	mast1
#	malleus	ear1
#	mandible	face
#	mandrill	monkey
#	mango	cashew family
#	mantle	core
#	marigold	composite family
#	marmoset	monkey
#	marquise	gem
#	medulla oblongata	brain
#	mellophone	French horn
#	melodic minor	minor scale
#	metacarpal	hand
#	metatarsal	foot
#	midbrain	brain
#	millimeter	Inch1
#	miohippus	evolution
#	mixing faucet	faucet
#	mizzenmast	mast1
#	moat	castle
#	monoclinic	crystal
#	moose	deer
#	mountain range	mountain
#	muffler	exhaust pipe
#	mule deer	antler
#	muskmelon	gourd family
#	muskrat	rat
#	mute swan	swan
#	muzzleloader	ramrod
#	narcissus	amaryllis family
#	navicular	foot
#	nephew	family tree
#	niece	family tree
#	nimbus	cloud
#	north magnetic pole	aclinic line
#	north star	constellation
#	nucleus	atom
#	nun buoy	buoy
#	occipital lobe	brain
#	okra	mallow family
#	oleander	dogbane family
#	opposition	aspect
#	orangutan	ape
#	outer core	core1
#	oval window	ear1
#	overhand knot	knot1
#	pace	gait
#	palmetto	fan palm
#	pancreas	digestion
#	panetela	cigar
#	papyrus	bulrush
#	parathyroid glands	endocrine gland
#	parietal lobe	brain
#	pass	mountain
#	pawn	chess1
#	peace symbol	symbol
#	peanut	pea family
#	pearly nautilus	nautilus
#	pectoral fin	fin1
#	pediment	plain1
#	pelvic fin	fin1
#	pendeloque	gem
#	pericarp	fruit
#	perihelion	aphelion
#	periwinkle	dogbane family
#	pestle	mortar2
#	petal	calyx
#	petiole	leaf
#	philodendron	arum family
#	phloem	bark1
#	piccolo	flute
#	pictograph	graph1
#	pigweed	goosefoot family
#	pineal body	endocrine gland
#	pinon	gymnosperm
#	pistil	flower
#	pocketknife	knife
#	pod corn	corn1
#	pome	fruit
#	pommel	saddle
#	popcorn	corn1
#	porterhouse	beef
#	prairie schooner	covered wagon
#	pralltriller	mordent
#	prickly pear	cactus family
#	promontory	peninsula
#	pumpkin	gourd family
#	rachis	feather
#	rack	gait
#	radicle	embryo
#	radish	mustard family
#	rankine scale	absolute scale
#	ratchet wheel	pawl
#	ravine	plain1
#	ray flower	dimorphism
#	receptacle	flower
#	recessional moraine	glacier
#	red squirrel	squirrel
#	reflecting telescope	telescope
#	refracting telescope	telescope
#	rein	harness
#	revolver	pistol
#	rhea	ostrich
#	rib	chest
#	ribcage	skeleton
#	rift valley	fault
#	right angle	angle1
#	ring gear	planetary
#	riser	staircase
#	rock barnacle	barnacle
#	rolling hitch	hitch
#	romaine	lettuce
#	rose	gem
#	round steak	beef
#	round window	ear1
#	rubber plant	mulberry family
#	saguaro	cactus family
#	salamander	amphibian
#	saltire	heraldry
#	sand trap	golf course
#	scalare	angelfish
#	screw propeller	propeller
#	sea cliff	peninsula
#	sea lion	seal2
#	secant	circle
#	sebaceous gland	hair
#	sea urchin	echinoderm
#	second cousin	family tree
#	sepal	carpel
#	sesamoid	bone
#	setter	dog
#	sexual generation	alternation of generations
#	shaft	Corinthian
#	shinbone	leg
#	short division	division
#	shotgun	rifle1
#	shroud	parachute
#	sill	valley
#	sleigh	sled
#	slipknot	knot1
#	sloth bear	bear1
#	snapdragon	figwort family
#	snare drum	drum1
#	snowdrop	amaryllis family
#	snow leopard	leopard
#	soft palate	mouth
#	solar wind	magnetosphere
#	solleret	armor
#	sound	bay1
#	sound	bay1
#	soup spoon	silverware
#	south pole	Antarctic Circle
#	spanish moss	pineapple family
#	spar buoy	buoy
#	spearmint	mint family
#	spinach	goosefoot family
#	spirillum	bacteria
#	spirit level	level
#	spit	peninsula
#	spoiler	aileron
#	springtide	tide1
#	spur gear	gear
#	square knot	knot1
#	stack	peninsula
#	stag beetle	beetle1
#	stapes	ear1
#	stationary front	front
#	stereobate	ionic
#	sternum	chest
#	stern	ship
#	stigma	flower
#	stock	graft1
#	stone crab	crab1
#	stone hammer	hammer
#	stop	organ
#	stove bolt	bolt1
#	strait	bay1
#	stratus	cloud
#	style	flower
#	subclavian artery	circulation
#	subclavian vein	circulation
#	subdominant	dominant
#	sucker	remora
#	sugar beet	beet1
#	sugar cane	grass family
#	sumac	cashew family
#	sun bear	bear1
#	sundew	carnivorous
#	supertonic	dominant
#	sweat gland	skin
#	sweet corn	corn1
#	sweet potato	morning-glory family
#	sweet pepper	pepper
#	swim fin	aquagun
#	sympodial	branch
#	syncline	fold1
#	tableland	plain1
#	tackle	block
#	tail pipe	exhaust pipe
#	talus	ankle
#	tarn	mountain
#	taro	arum family
#	tasses	armor
#	tee	golf course
#	tenderloin	beef
#	tentacle	hydra
#	terminal moraine	glacier
#	tetragonal	crystal
#	tiger beetle	beetle1
#	tiller	sailboat
#	timber hitch	hitch
#	time signature	time
#	tonic	dominant
#	top round	beef
#	trachea	chest
#	tread	staircase
#	triceps	arm1
#	trot	gait
#	trough	mountain
#	trumpet creeper	bignonia family
#	tuber	bulb
#	tubule	nephron
#	tug	harness
#	tulip	lily family
#	two-toed sloth	sloth
#	ulna	arm1
#	uncle	family tree
#	ursa major	constellation
#	ursa minor	constellation
#	vacuole	cell
#	vane	feather
#	venus's-flytrap	carnivorous
#	violet	bird's-foot violet
#	visor	armor
#	voussoir	keystone
#	wagon	covered wagon
#	wallaby	kangaroo
#	walrus	seal2
#	ward	castle
#	warp	loom1
#	wart hog	pig1
#	watermelon	gourd family
#	water milfoil	amphibian
#	western saddle	saddle
#	wheat	grass family
#	whirligig beetle	beetle1
#	white blood cell	corpuscle
#	white-tailed deer	deer
#	wing	airplane
#	wisteria	pea family
#	withers	horse
#	wood	golf club
#	woof	loom1
#	wrecking bar	crowbar
#	yolk	egg1
#	cumulus	cloud
#	disk flower	dimorphism
#	fitch	cross
#	hunting horn	horn
#	mediant	dominant
#	monocotyledon	cotyledon
#	moray	eel
#	night-blooming cereus	cactus family
#	obtuse angle	angle1
#	orthorhombic	crystal
#	paper nautilus	nautilus
#	papilla	hair
#	perfecto	cigar
#	quadrate	cross
#	quadrature	aspect
#	radius vector	polar coordinates
#	rattlesnake plantain	adder's-tongue
#	ribosome	cell
#	rook	chess1
#	shoulder blade	skeleton
#	skunk cabbage	arum family
#	solid rocket	rocket1
#	soybean	pea family
#	spaghetti	pasta
#	stern-wheeler	paddlewheeler
#	temporal bone	face
#	thorax	abdomen
#	thymus gland	endocrine gland
#	timothy	grass family
#	triclinic	crystal
#	t square	set square
#	vestibule	ear1
#	wing nut	nut
#	xiphoid cartilage	skeleton
#	standing wave	See diagram under node
#	thighbone	See diagram under leg
#	troposphere	See diagram under atmosphere
#	uranus	See diagram under solar system
#	ventricle	See diagram under heart
#	cecum	See the diagram of digestion
#	choroid membrane	See the diagram of eye
#	ciliary muscle	See the diagram of eye
#	contra bassoon	See the picture under bassoon
#	gray squirrel	See the picture under squirrel
#	chicken	See picture at poultry
#	colon	See picture at intestine
#	eyepiece	See diagram at microscope
#	flywheel	See picture at steam engine
#	iceberg lettuce	See picture at lettuce
#	isobar	See diagram at isoline
#	isobath	See diagram at isoline
#	isohyet	See diagram at isoline
#	isotherm	See diagram at isoline
#	manual	See picture at organ
#	metaphase	See diagram at mitosis
#	mussel	See picture at mollusk
#	nasal bone	See picture at face
#	pastern	See picture at horse
#	russian cross	See picture at cross
#	standard gauge	See picture at gauge
#	stator	See picture at motor
#	stifle	See picture at horse
#	strap hinge	See picture at hinge
#	synapse	See diagram at neuron
#	telophase	See diagram at mitosis
#	throatlatch	See picture at harness
#	tsetse fly	See picture at fly1
#	yard	See picture at mast1
#	zebra	See picture at horse
#	albumen	See diagram under egg1
#	alpha particle	See diagram under disintegration
#	ankh	See the diagram under cross
#	architrave	See diagram under entablature
#	ascending colon	See diagram under intestine
#	atrium	See the diagram under heart
#	benzene ring	See diagram under molecule
#	carotid	See diagram under circulation
#	celestial equator	See diagram under celestial pole
#	cell membrane	See diagram under cell
#	celtic cross	See diagram under cross
#	centriole	See diagram under meiosis
#	cornea	See the diagram under eye
#	coronary artery	See diagram under heart
#	corpus callosum	See diagram under brain
#	deferent	See diagram under epicycle
#	dermis	See diagram under skin
#	descending colon	See diagram under intestine
#	first cousin	See diagram under family tree
#	fleury	See the diagram under cross
#	fourche	See the diagram under cross
#	grandson	See diagram under family tree
#	great-aunt	See diagram under family tree
#	greek cross	See the diagram under cross
#	horst	See diagram under fault
#	incus	See the diagram under ear1
#	inner ear	See the diagram under ear1
#	iris	See diagram under eye
#	jejunum	See diagram under intestine
#	jupiter	See diagram under solar system
#	kneecap	See diagram under knee
#	laminar flow	See diagram under fluid flow
#	latin cross	See the diagram under cross
#	lift	See the diagram under airfoil
#	lorraine cross	See diagram under cross
#	lunar eclipse	See diagram under eclipse
#	magnetic equator	See diagram under aclinic line
#	maltese cross	See diagram under cross
#	manubrium	See diagram under skeleton
#	mars	See diagram under solar system
#	masseter	See diagram under face
#	maxilla	See diagram under face
#	melanin	See diagram under skin
#	mercury	See diagram under solar system
#	mesocarp	See diagram under fruit
#	mesosphere	See diagram under atmosphere
#	middle ear	See diagram under ear1
#	mitochondria	See the diagram under cell
#	mitral valve	See the diagram under heart
#	moline	See the diagram under cross
#	neptune	See diagram under solar system
#	nucleus	See the diagram under cell
#	objective	See diagram under microscope
#	obtuse	See diagram under triangle
#	optic nerve	See diagram under eye
#	ovary	See diagram under flower
#	papal cross	See diagram under cross
#	patriarchal cross	See diagram under cross
#	pituitary gland	See diagram under brain
#	plumb	See diagram under plumb line
#	pomme	See diagram under cross
#	pons varolii	See diagram under brain
#	pore	See diagram under skin
#	potent	See diagram under cross
#	prophase	See diagram under mitosis
#	pulmonary vein	See diagram under heart
#	pulmonary artery	See diagram under heart
#	pupa	See diagram under metamorphosis
#	pupil	See diagram under eye
#	ramjet	See diagram under combustion chamber
#	rectum	See diagram under digestion
#	red corpuscle	See diagram under corpuscle
#	retina	See diagram under eye
#	saturn	See diagram under solar system
#	scalene	See diagram under triangle
#	scyphistoma	See diagram under alternation of generations
#	secondary consumer	See diagram under food chain
#	self-pollination	See diagram under pollination
#	semicircular canal	See diagram under ear1
#	semilunar valve	See diagram under heart
#	semilunar valve	See diagram under heart
#	simple fracture	See diagram under fracture
#	small intestine	See diagram under intestine
#	soleus	See diagram under leg
#	spinal cord	See diagram under brain
